category,title,link,organiser,date,day,time,address
MUSIC,Music Cousins,https://www.esplanade.com/festivals-and-series/exchange/2022/music-cousins?IsFree=1&Start=20220614,"Olivia Chuang and Anarva Wang (Singapore)
Hosted by Gildon Choo",22-Jun-22,Wed,7.15pm & 8.15pm,Esplanade Concourse
MUSIC,Rock and Pullu,https://www.esplanade.com/festivals-and-series/exchange/2022/rock-and-pullu?IsFree=1&Start=20220614,Vandelay I.S.A. (Singapore),23 & 24 Jun 2022,Thu & Fri,7.15pm & 8.15pm,Esplanade Concourse
DANCE,Dance at Dusk,https://www.esplanade.com/festivals-and-series/contact-contemporary-dance-festival/2022/dance-at-dusk?IsFree=1&Start=20220614,"Presented by T.H.E Dance Company, in Collaboration with Esplanade – Theatres on the Bay
T.H.E Second Company (Singapore)",24 – 26 Jun 2022,Fri – Sun,7pm & 8.30pm,Esplanade Outdoor Theatre
MUSIC,When Worlds Collide,https://www.esplanade.com/festivals-and-series/exchange/2022/when-worlds-collide?IsFree=1&Start=20220614,"Faiz Syazani, Janaki Nair, Rachma Lim (Singapore)",25-Jun-22,Sat,"5.15pm, 6.15pm & 7.15pm",Esplanade Concourse
MUSIC,SEE?,https://www.esplanade.com/festivals-and-series/exchange/2022/see?IsFree=1&Start=20220614,XJ and Regina Foo (Singapore),26-Jun-22,Sun,"5.15pm, 6.15pm & 7.15pm",Esplanade Concourse
MUSIC,Fascinating Rhythm,https://www.esplanade.com/festivals-and-series/exchange/2022/fascinating-rhythm?IsFree=1&Start=20220614,Debbie Gan and Alicia Loo (Singapore),27 & 28 Jun 2022,Mon & Tue,"At Esplanade
7.15pm & 8.15pm

Online
Live stream on 28 Jun, Tue, 8.15pm
(Available online until 5 Jul, Tue, 11.59pm)",Esplanade Concourse & Online
MUSIC,Lotus Fugue,https://www.esplanade.com/festivals-and-series/exchange/2022/lotus-fugue?IsFree=1&Start=20220614,Bellepoque (Singapore),29 & 30 Jun 2022,Wed & Thu,7.15pm & 8.15pm,Esplanade Concourse
MUSIC,Date Night Friday: The PLF Connection,https://www.esplanade.com/festivals-and-series/jazz-in-july/2022/date-night-friday-the-plf-connection?IsFree=1&Start=20220614,"Alexandra Hsieh, Teo Boon Chye, Eugene Ang, Ignatius Bong and Pablo Calzado (Singapore)",1-Jul-22,Fri,7pm & 8.15pm,Esplanade Concourse
MUSIC,Anson Fung Guitar Trio ft. Namie Rasman,https://www.esplanade.com/festivals-and-series/jazz-in-july/2022/anson-fung-guitar-trio-featuring-namie-rasman?IsFree=1&Start=20220614,(Singapore),2-Jul-22,Sat,4pm & 5pm,Esplanade Concourse
MUSIC,The Simplicius Cheong Quartet,https://www.esplanade.com/festivals-and-series/jazz-in-july/2022/the-simplicius-cheong-quartet?IsFree=1&Start=20220614,"Simplicius Cheong, Rit Xu, Eugene Chew & Tama Goh (Singapore)",2-Jul-22,Sat,5pm & 6.15pm,Esplanade Concourse
TALK,Jazz 101: Tony Makarome,https://www.esplanade.com/festivals-and-series/jazz-in-july/2022/jazz-101-tony-makarome?IsFree=1&Start=20220614,Tony Makarome (Singapore),3-Jul-22,Sun,2pm,library@esplanade
MUSIC,Big Band Sunday: Thomson Big Band,https://www.esplanade.com/festivals-and-series/jazz-in-july/2022/big-band-sunday-thomson-big-band?IsFree=1&Start=20220614,(Singapore),3-Jul-22,Sun,7pm & 8.30pm,Esplanade Outdoor Theatre
MUSIC,Free Jazz: Firewater,https://www.esplanade.com/festivals-and-series/jazz-in-july/2022/free-jazz-firewater?IsFree=1&Start=20220614,"Darren Moore, Yong Yandsen, Tim O’Dwyer, Dharma and Matthew Tan (Singapore, Malaysia)",3-Jul-22,Sun,8pm,Esplanade Annexe Studio
MUSIC,"Something Old, Something New",https://www.esplanade.com/festivals-and-series/jazz-in-july/2022/something-old-something-new?IsFree=1&Start=20220614,Sugar Bees (Singapore),4-Jul-22,Mon,"7.15pm & 8.15pm
(8.15pm: Also livestreamed, available online until 5 Jul, Tue, 8.15pm)",Esplanade Concourse & Online
MUSIC,Em Saxophone Quartet,https://www.esplanade.com/festivals-and-series/jazz-in-july/2022/em-saxophone-quartet?IsFree=1&Start=20220614,(Singapore),6-Jul-22,Wed,"7.15pm & 8.15pm
(8.15pm: Also livestreamed, available online until 7 Jul, Thu, 8.15pm)",Esplanade Concourse & Online
MUSIC,MT Trio,https://www.esplanade.com/festivals-and-series/jazz-in-july/2022/mt-trio?IsFree=1&Start=20220614,"Kenji Nakano, Aaron Lee and Matthew Tan (Singapore)",7-Jul-22,Thu,"7.15pm & 8.15pm
(8.15pm: Also livestreamed, available online until 8 Jul, Fri, 8.15pm)",Esplanade Concourse & Online
MUSIC,Blue Monks,https://www.esplanade.com/festivals-and-series/jazz-in-july/2022/blue-monks?IsFree=1&Start=20220614,(Singapore),8-Jul-22,Fri,7.15pm & 8.45pm,Esplanade Outdoor Theatre
THEATRE,Recipes for Wayfinding (Care Index) Installation,https://www.esplanade.com/festivals-and-series/the-studios/2022/recipes-for-wayfinding-care-index-installation?IsFree=1&Start=20220614,Alecia Neo (Singapore),28 Jul – 24 Sep 2022,Thu – Sat,All Day,Esplanade Roof Terrace
THEATRE,In Their Own Words: Writing Verbatim Plays,https://www.esplanade.com/festivals-and-series/the-studios/2022/in-their-own-words-writing-verbatim-plays?IsFree=1&Start=20220614,Haresh Sharma (Singapore),27-Aug-22,Sat,12pm,library@esplanade
THEATRE,Performing Grief,https://www.esplanade.com/festivals-and-series/the-studios/2022/performing-grief?IsFree=1&Start=20220614,"Mohd Fared Jainal, Chong Tze Chien, Jolene Chiang and moderated by Nabilah Said (Singapore)",10-Sep-22,Sat,3pm,library@esplanade
THEATRE,In Conversation: And So The Conversations Continue…,https://www.esplanade.com/festivals-and-series/the-studios/2022/in-conversation-and-so-the-conversations-continue?IsFree=1&Start=20220614,Checkpoint Theatre (Singapore),24-Sep-22,Sat,3pm,library@esplanade
